round,train_loss,train_accuracy,test_loss,test_accuracy,participating_clients,total_client_examples
1,0.6272933729971298,0.7126712671267127,0.6944510643005372,0.4994,10,19998
2,0.6107380419436044,0.695019501950195,0.6958079483032227,0.499,10,19998
3,0.5888050864584292,0.7011701170117012,0.6946493041038513,0.4956,10,19998
4,0.5694295990005387,0.7115711571157116,0.6937515258789062,0.4768,10,19998
5,0.5576306220942443,0.7164216421642164,0.6936601947784424,0.4932,10,19998
6,0.5513850005574734,0.7191219121912191,0.693716094493866,0.5064,10,19998
7,0.5467659910643983,0.7215221522152215,0.6934241960525512,0.4948,10,19998
8,0.5433333491956261,0.7174717471747175,0.6932796819686889,0.4934,10,19998
9,0.5419056369434155,0.7179717971797179,0.6944581541061401,0.4972,10,19998
10,0.540012167724404,0.7194219421942194,0.6936410299301148,0.5004,10,19998
11,0.5394577827086278,0.7191719171917191,0.6942342732429504,0.5068,10,19998
12,0.5386784004194863,0.7193219321932193,0.6926723916053772,0.512,10,19998
13,0.5371393771430064,0.7185218521852185,0.6967956497192382,0.5046,10,19998
14,0.538325940246972,0.7181218121812181,0.6922896777153015,0.514,10,19998
15,0.536563961929006,0.7214721472147215,0.6932520017623901,0.5,10,19998
16,0.5369482829914217,0.7206220622062206,0.6940978467941284,0.5158,10,19998
17,0.5351402214748321,0.7216221622162217,0.693653482055664,0.5188,10,19998
18,0.5356159760491072,0.7228722872287229,0.691797369480133,0.5242,10,19998
19,0.5343631249759803,0.7233223322332233,0.6923234177589417,0.5004,10,19998
20,0.534492907350534,0.7198219821982198,0.6913963352203369,0.5234,10,19998
21,0.5331641495019549,0.7211721172117211,0.6961945756912231,0.515,10,19998
22,0.5330479375508377,0.7245224522452245,0.6915732398986817,0.527,10,19998
23,0.5336465939224818,0.7228722872287229,0.6926974619865417,0.5234,10,19998
24,0.5328873091777174,0.7221722172217222,0.6907362859725952,0.5306,10,19998
25,0.5322160881384499,0.7267726772677268,0.6910159804344177,0.5312,10,19998
26,0.5335635101002226,0.7218721872187218,0.6905872015953064,0.5346,10,19998
27,0.5317008100615458,0.7247224722472247,0.6901009834289551,0.536,10,19998
28,0.5324840994531473,0.7244224422442245,0.702198327922821,0.513,10,19998
29,0.5317634513927842,0.7217221722172217,0.6902997259140015,0.5184,10,19998
30,0.5329608878430755,0.7235723572357236,0.689429581451416,0.539,10,19998
31,0.5307731971678191,0.725072507250725,0.7023388013839722,0.5122,10,19998
32,0.5316906552221572,0.7262226222622262,0.6966995383262634,0.523,10,19998
33,0.5311005191846002,0.7246224622462246,0.6887680508613586,0.5388,10,19998
34,0.5311539645130449,0.7246724672467246,0.7181100346565247,0.5064,10,19998
35,0.5298208373566899,0.7253725372537254,0.6880074336051941,0.5396,10,19998
36,0.5299464841112934,0.7275227522752276,0.6903977415084839,0.5334,10,19998
37,0.5292410003783258,0.7261726172617262,0.6913543825149536,0.5314,10,19998
38,0.5274331042415822,0.7276727672767277,0.7033114393234253,0.5156,10,19998
39,0.5291445750397782,0.7278227822782278,0.698817800617218,0.5214,10,19998
40,0.5282070213240596,0.7240224022402241,0.6867584043502808,0.552,10,19998
41,0.5292697316314121,0.725922592259226,0.6866291695594787,0.5518,10,19998
42,0.5274873824585395,0.7285228522852285,0.6866038823127747,0.548,10,19998
43,0.5280420679957828,0.7286228622862286,0.6847317164421082,0.5564,10,19998
44,0.5274606191359721,0.7277727772777278,0.6842164721488952,0.559,10,19998
45,0.5255529248574884,0.7278227822782278,0.6837308152198791,0.5612,10,19998
46,0.5249514827723264,0.7316731673167317,0.684969077014923,0.5378,10,19998
47,0.5247317178565861,0.7311731173117312,0.6870898789405823,0.5358,10,19998
48,0.5241952217446201,0.7313731373137313,0.699045343208313,0.5254,10,19998
49,0.5241051778006908,0.73002300230023,0.709972409248352,0.5128,10,19998
50,0.5236596724044348,0.7320732073207321,0.681692039680481,0.553,10,19998
